Time resolution is 1 ps
t=0 | rst=0 | sel=00 | d1=0 | d2=0 | o_data= 0 | overflow=0
t=20000 | rst=1 | sel=00 | d1=0 | d2=0 | o_data= 0 | overflow=0
t=30000 | rst=1 | sel=00 | d1=1 | d2=2 | o_data= 0 | overflow=0
t=35000 | rst=1 | sel=00 | d1=1 | d2=2 | o_data= 1 | overflow=0
t=45000 | rst=1 | sel=00 | d1=1 | d2=2 | o_data= 2 | overflow=0
t=50000 | rst=1 | sel=01 | d1=3 | d2=4 | o_data= 2 | overflow=0
t=55000 | rst=1 | sel=01 | d1=3 | d2=4 | o_data= 9 | overflow=0
t=65000 | rst=1 | sel=01 | d1=3 | d2=4 | o_data=16 | overflow=0
t=70000 | rst=1 | sel=10 | d1=5 | d2=1 | o_data=16 | overflow=0
t=75000 | rst=1 | sel=10 | d1=5 | d2=1 | o_data=17 | overflow=0
t=85000 | rst=1 | sel=10 | d1=5 | d2=1 | o_data=18 | overflow=0
t=90000 | rst=1 | sel=01 | d1=7 | d2=7 | o_data=18 | overflow=0
t=95000 | rst=1 | sel=01 | d1=7 | d2=7 | o_data=32 | overflow=0
t=105000 | rst=1 | sel=01 | d1=7 | d2=7 | o_data=46 | overflow=0
t=115000 | rst=1 | sel=01 | d1=7 | d2=7 | o_data=60 | overflow=0
t=125000 | rst=1 | sel=01 | d1=7 | d2=7 | o_data=10 | overflow=1
t=135000 | rst=1 | sel=01 | d1=7 | d2=7 | o_data=24 | overflow=0
$finish called at time : 140 ns : File "C:/Users/facun/vivadoProjects/remake_GP01_ej1/remake_GP01_ej1.srcs/sources_1/new/tb_top_module.v" Line 101
